feature,median_importance,q1,q3,period,group,total_importance,signed_importance,signed_q1,signed_q3
age,0.0579470583965775,0.05687758910928659,0.058953832586604825,Before face mask mandate,Demographics,0.13456382193380423,-0.0579470583965775,-0.05687758910928659,-0.058953832586604825
cantril_ladder,0.043953193269765004,0.042707441768926345,0.04568358166745069,Before face mask mandate,"Health, mental health and wellbeing",0.09478378973669585,-0.043953193269765004,-0.042707441768926345,-0.04568358166745069
gender_Male,0.01128834232344495,0.01091627046271115,0.011754682051944888,Before face mask mandate,Demographics,0.028660230306658104,-0.01128834232344495,-0.01091627046271115,-0.011754682051944888
household_size,0.029341826388570573,0.028533495239134475,0.030198691714891104,Before face mask mandate,Demographics,0.06995411308877368,-0.029341826388570573,-0.028533495239134475,-0.030198691714891104
i11_health_Very willing,0.01925242077792591,0.017820609950642476,0.021011448369681177,Before face mask mandate,Self protective behaviours,0.04386054140716108,-0.01925242077792591,-0.017820609950642476,-0.021011448369681177
i2_health,0.2378956390759609,0.23211322515841165,0.24444048912616936,Before face mask mandate,Self protective behaviours,0.3960415960573871,-0.2378956390759609,-0.23211322515841165,-0.24444048912616936
i9_health_Not sure,0.019188843273170567,0.017734124503359688,0.02111902599500129,Before face mask mandate,Self protective behaviours,0.02986214181030106,-0.019188843273170567,-0.017734124503359688,-0.02111902599500129
i9_health_Yes,0.022008155374495263,0.02041641216284519,0.024366563371196137,Before face mask mandate,Self protective behaviours,0.039134388073991874,-0.022008155374495263,-0.02041641216284519,-0.024366563371196137
r1_1,0.1261854015539009,0.12123332839511088,0.13074168037585998,Before face mask mandate,Perception of illness threat,0.2063973587047283,-0.1261854015539009,-0.12123332839511088,-0.13074168037585998
r1_2,0.052606137825577,0.05019170797312895,0.054432444434848,Before face mask mandate,Perception of illness threat,0.10057544098773405,-0.052606137825577,-0.05019170797312895,-0.054432444434848
week_number,0.06762007738778934,0.06578309062879575,0.06891169937546482,Before face mask mandate,Time,0.17381040666340836,-0.06762007738778934,-0.06578309062879575,-0.06891169937546482
age,0.07661676353722671,0.07630877585367805,0.07739969537407974,After face mask mandate,Demographics,0.13456382193380423,0.07661676353722671,0.07630877585367805,0.07739969537407974
cantril_ladder,0.05083059646693085,0.05032837425919249,0.05131940506698205,After face mask mandate,"Health, mental health and wellbeing",0.09478378973669585,0.05083059646693085,0.05032837425919249,0.05131940506698205
gender_Male,0.017371887983213152,0.017167173634834807,0.01747213706548977,After face mask mandate,Demographics,0.028660230306658104,0.017371887983213152,0.017167173634834807,0.01747213706548977
household_size,0.04061228670020311,0.04042225467580944,0.041048724756123214,After face mask mandate,Demographics,0.06995411308877368,0.04061228670020311,0.04042225467580944,0.041048724756123214
i11_health_Very willing,0.024608120629235168,0.02387054672006774,0.02534821897583697,After face mask mandate,Self protective behaviours,0.04386054140716108,0.024608120629235168,0.02387054672006774,0.02534821897583697
i2_health,0.15814595698142622,0.15557590732334733,0.16124910190628391,After face mask mandate,Self protective behaviours,0.3960415960573871,0.15814595698142622,0.15557590732334733,0.16124910190628391
i9_health_Not sure,0.010673298537130494,0.01030586475002265,0.01111834782971271,After face mask mandate,Self protective behaviours,0.02986214181030106,0.010673298537130494,0.01030586475002265,0.01111834782971271
i9_health_Yes,0.017126232699496615,0.016560722865578425,0.017669048355828068,After face mask mandate,Self protective behaviours,0.039134388073991874,0.017126232699496615,0.016560722865578425,0.017669048355828068
r1_1,0.0802119571508274,0.07860506685477778,0.08204175270738463,After face mask mandate,Perception of illness threat,0.2063973587047283,0.0802119571508274,0.07860506685477778,0.08204175270738463
r1_2,0.04796930316215705,0.04753984642010783,0.04846566303004882,After face mask mandate,Perception of illness threat,0.10057544098773405,0.04796930316215705,0.04753984642010783,0.04846566303004882
week_number,0.10619032927561903,0.1049337319794583,0.10801182591306509,After face mask mandate,Time,0.17381040666340836,0.10619032927561903,0.1049337319794583,0.10801182591306509
