feature,median_importance,q1,q3,period,group,total_importance,signed_importance,signed_q1,signed_q3
PHQ4_1_Nearly every day,0.015701085500000003,0.014630908500000001,0.01735387125,Before face mask mandate,"Health, mental health and wellbeing",0.037011726,-0.015701085500000003,-0.014630908500000001,-0.01735387125
PHQ4_2_N/A,0.0177420275,0.015368504750000001,0.02036162775,Before face mask mandate,"Health, mental health and wellbeing",0.03250025275,-0.0177420275,-0.015368504750000001,-0.02036162775
PHQ4_2_Nearly every day,0.0147350365,0.013632033875000001,0.01590402925,Before face mask mandate,"Health, mental health and wellbeing",0.033438527999999995,-0.0147350365,-0.013632033875000001,-0.01590402925
PHQ4_3_N/A,0.018279185,0.015644669,0.02006503175,Before face mask mandate,"Health, mental health and wellbeing",0.033348611,-0.018279185,-0.015644669,-0.02006503175
i11_health_Not sure,0.0175584275,0.01571021175,0.0197694895,Before face mask mandate,Self protective behaviours,0.035997698,-0.0175584275,-0.01571021175,-0.0197694895
i11_health_Very unwilling,0.0146781975,0.013297781,0.015771124,Before face mask mandate,Self protective behaviours,0.035917318000000004,-0.0146781975,-0.013297781,-0.015771124
i11_health_Very willing,0.026172116000000002,0.02326323475,0.028304696750000004,Before face mask mandate,Self protective behaviours,0.06663012900000001,-0.026172116000000002,-0.02326323475,-0.028304696750000004
i2_health,0.0785255425,0.07448144749999999,0.08071835599999999,Before face mask mandate,Self protective behaviours,0.127457767,-0.0785255425,-0.07448144749999999,-0.08071835599999999
i9_health_Not sure,0.025320231,0.023033632249999998,0.02709542575,Before face mask mandate,Self protective behaviours,0.051200288999999996,-0.025320231,-0.023033632249999998,-0.02709542575
i9_health_Yes,0.025802998,0.02429002175,0.028177211,Before face mask mandate,Self protective behaviours,0.0500330695,-0.025802998,-0.02429002175,-0.028177211
r1_1,0.0517834875,0.049888231250000005,0.05385158225,Before face mask mandate,Perception of illness threat,0.082392541,-0.0517834875,-0.049888231250000005,-0.05385158225
r1_2,0.018307806,0.0174639095,0.01920105625,Before face mask mandate,Perception of illness threat,0.0328826135,-0.018307806,-0.0174639095,-0.01920105625
week_number,0.0181818875,0.01773611375,0.018666221500000003,Before face mask mandate,Time,0.039008827,-0.0181818875,-0.01773611375,-0.018666221500000003
PHQ4_1_Nearly every day,0.0213106405,0.0195968615,0.022407859999999998,After face mask mandate,"Health, mental health and wellbeing",0.037011726,0.0213106405,0.0195968615,0.022407859999999998
PHQ4_2_N/A,0.01475822525,0.013903193999999999,0.01608066175,After face mask mandate,"Health, mental health and wellbeing",0.03250025275,0.01475822525,0.013903193999999999,0.01608066175
PHQ4_2_Nearly every day,0.0187034915,0.0174934135,0.01989348625,After face mask mandate,"Health, mental health and wellbeing",0.033438527999999995,0.0187034915,0.0174934135,0.01989348625
PHQ4_3_N/A,0.015069426,0.014063169749999998,0.01667340925,After face mask mandate,"Health, mental health and wellbeing",0.033348611,0.015069426,0.014063169749999998,0.01667340925
i11_health_Not sure,0.0184392705,0.01710226425,0.020245094249999998,After face mask mandate,Self protective behaviours,0.035997698,0.0184392705,0.01710226425,0.020245094249999998
i11_health_Very unwilling,0.0212391205,0.019572651750000003,0.02290320175,After face mask mandate,Self protective behaviours,0.035917318000000004,0.0212391205,0.019572651750000003,0.02290320175
i11_health_Very willing,0.040458013,0.03758047974999999,0.0439546725,After face mask mandate,Self protective behaviours,0.06663012900000001,0.040458013,0.03758047974999999,0.0439546725
i2_health,0.048932224499999996,0.0472900715,0.0502773085,After face mask mandate,Self protective behaviours,0.127457767,0.048932224499999996,0.0472900715,0.0502773085
i9_health_Not sure,0.025880057999999997,0.024249075000000002,0.027858623750000002,After face mask mandate,Self protective behaviours,0.051200288999999996,0.025880057999999997,0.024249075000000002,0.027858623750000002
i9_health_Yes,0.0242300715,0.023047113249999997,0.0257325245,After face mask mandate,Self protective behaviours,0.0500330695,0.0242300715,0.023047113249999997,0.0257325245
r1_1,0.0306090535,0.029360756499999998,0.0319517095,After face mask mandate,Perception of illness threat,0.082392541,0.0306090535,0.029360756499999998,0.0319517095
r1_2,0.0145748075,0.014265516749999999,0.014826588750000001,After face mask mandate,Perception of illness threat,0.0328826135,0.0145748075,0.014265516749999999,0.014826588750000001
week_number,0.020826939500000002,0.020597753750000003,0.021258805750000002,After face mask mandate,Time,0.039008827,0.020826939500000002,0.020597753750000003,0.021258805750000002
