model,fold,test_precision,test_recall,test_roc_auc,test_accuracy,test_f1
model_3,1,0.6749682337992376,0.7634377694739868,0.7352059544295528,0.6726876362503893,0.7164823307256541
model_3,2,0.6795765556416214,0.7565392354124748,0.731146062824205,0.6748676424789785,0.7159956474428727
model_3,3,0.6740317130231349,0.745329117562518,0.7270490571212332,0.6667704764870757,0.7078897078897078
model_3,4,0.6734118852459017,0.7556769186547858,0.7313395444752394,0.6691061974462784,0.7121766219693891
model_3,5,0.6850104821802935,0.7513653348663409,0.7393062808675752,0.6781376518218624,0.7166552433173407
model_3a,1,0.6192,0.675392670157068,0.6992771283464854,0.6454849498327759,0.6460767946577629
model_3a,2,0.6146788990825688,0.6431064572425829,0.6833609259928455,0.6358695652173914,0.6285714285714286
model_3a,3,0.6227450980392157,0.6928446771378709,0.711454315239832,0.6517558528428093,0.6559273027674515
model_3a,4,0.6111111111111112,0.662303664921466,0.6983730135386116,0.6362876254180602,0.635678391959799
model_3a,5,0.6172741679873217,0.6797556719022687,0.6994157919653536,0.6446488294314381,0.6470099667774086
model_3b,1,0.735050597976081,0.6846615252784919,0.7368391420112816,0.6745224510047134,0.7089618456078084
model_3b,2,0.7347588717015469,0.6919451585261354,0.7349980988679554,0.6770032250062019,0.7127096204766108
model_3b,3,0.734675615212528,0.7035132819194516,0.7447140702454405,0.6812205408087323,0.7187568395710221
model_3b,4,0.7282559711581793,0.6923736075407027,0.7374175608046661,0.6722897544033739,0.7098616296947068
model_3b,5,0.7252497729336966,0.6842330762639246,0.7286915414520003,0.667080129000248,0.7041446208112875
