feature,importance_mean,importance_std
i2_health,0.19887801440149255,0.0021805585058153167
r1_1,0.09418114694113959,0.0012434079232792284
week_number,0.09215389491065604,0.0007423616828170529
age,0.06834373082377652,0.00036559910432805486
cantril_ladder,0.04489108245309313,0.0003318409923126922
r1_2,0.04185461296579801,0.00033042418454386755
household_size,0.034358740588303384,0.00023214399542897346
i11_health_Very willing,0.025139358154364393,0.0004361167906466914
state_Victoria,0.021859663128161223,0.0004771541740129216
i9_health_Yes,0.018320603338129987,0.0003588264057348893
