feature,importance_mean,importance_std
i2_health,0.19887801440149255,0.0021805585058153167
r1_1,0.09418114694113959,0.0012434079232792284
week_number,0.09215389491065604,0.0007423616828170529
age,0.06834373082377652,0.00036559910432805486
cantril_ladder,0.04489108245309313,0.0003318409923126922
r1_2,0.04185461296579801,0.00033042418454386755
household_size,0.034358740588303384,0.00023214399542897346
i11_health_Very willing,0.025139358154364393,0.0004361167906466914
state_Victoria,0.021859663128161223,0.0004771541740129216
i9_health_Yes,0.018320603338129987,0.0003588264057348893
state_Western Australia,0.017547522641607888,0.00041283687583655224
state_New South Wales,0.016802535211524142,0.0004284629320997219
within_mandate_period,0.015071258258392886,0.00031540331398070116
i9_health_Not sure,0.013809255135994892,0.0004827049138331931
gender_Male,0.012240862707572903,0.00012954717969782374
state_Queensland,0.011630060911698862,0.00029126911997622105
employment_status_Part time employment,0.011362111664977421,0.00013199022555087695
WCRex2_A lot of confidence,0.011255436320759104,0.0001407787258683089
WCRex1_Somewhat well,0.010592853562162472,0.00012132641917817964
WCRex1_Very well,0.010061127340839356,0.0001508052355656081
PHQ4_1_Not at all,0.009426640853213786,0.00014401627473492723
d1_comorbidities_Yes,0.009386189525919695,0.00011408624454645697
WCRex2_Not very much confidence,0.009305411097046443,0.00010726335779650479
d1_comorbidities_No,0.009132244883361004,9.736942149874603e-05
WCRex1_Somewhat badly,0.008925198360961617,9.673119884953365e-05
PHQ4_2_Not at all,0.008819484949755874,0.00013653947871164506
PHQ4_3_Several days,0.008817152380949878,0.00011264503588630771
i11_health_Somewhat willing,0.008766613081578715,0.00016006342199516527
employment_status_Unemployed,0.008696036678486733,0.00010170932671338967
employment_status_Not working,0.008549065878559645,0.00011756254252686105
PHQ4_4_Not at all,0.0084714514764189,0.00011338285252201063
employment_status_Retired,0.008405855112591336,0.0001269907929810741
PHQ4_1_Several days,0.008366990712817846,0.00011498451220500562
PHQ4_3_Not at all,0.008233560972844538,0.00010073463409253495
PHQ4_4_Several days,0.008194639079267568,0.00010787069317878315
PHQ4_2_Several days,0.00806339437608241,0.00010962403516814057
WCRex1_Very badly,0.007946627576732429,9.951842311696889e-05
state_South Australia,0.007361156096246055,0.00015487267740159566
PHQ4_1_Nearly every day,0.007206237471612875,0.00012242826925584996
PHQ4_2_Nearly every day,0.006017891779211719,0.00013621440499384972
PHQ4_3_Nearly every day,0.005995156624210759,9.218296931131288e-05
PHQ4_4_Nearly every day,0.00592772375601631,8.308644142311254e-05
WCRex2_No confidence at all,0.005845221833613518,9.34510749105942e-05
i11_health_Very unwilling,0.005009359193128146,0.00019287608963347274
WCRex2_Don't know,0.004545909400504834,6.822154390808212e-05
i11_health_Somewhat unwilling,0.0037651673611580295,0.00011626193533154373
state_Tasmania,0.0036809455999811404,9.21056648061316e-05
PHQ4_2_N/A,0.0034063951987143015,9.939260474467343e-05
PHQ4_3_N/A,0.003381530593439183,8.443943558998789e-05
PHQ4_1_N/A,0.003324718110723228,8.687086621350571e-05
PHQ4_4_N/A,0.0033153764233954846,9.781583287519814e-05
d1_comorbidities_Prefer_not_to_say,0.0028156804429103816,6.401704711018406e-05
i11_health_Not sure,0.002112477467431188,5.328654189635202e-05
PHQ4_4_Prefer not to say,0.0018716112625408146,4.578381068549931e-05
PHQ4_2_Prefer not to say,0.0018631733437914119,4.577649323395071e-05
PHQ4_3_Prefer not to say,0.0016603954680854834,3.9512626392212483e-05
PHQ4_1_Prefer not to say,0.0015722680980807774,4.094749020276677e-05
state_Northern Territory,0.0014611760181712052,3.9386065214661435e-05
within_social_distance_policy_period,0.0,0.0
