i2_health,age,household_size,cantril_ladder,r1_1,r1_2,week_number,within_social_distance_policy_period,within_mandate_period,state_New South Wales,state_Northern Territory,state_Queensland,state_South Australia,state_Tasmania,state_Victoria,state_Western Australia,gender_Male,i9_health_Not sure,i9_health_Yes,employment_status_Not working,employment_status_Part time employment,employment_status_Retired,employment_status_Unemployed,i11_health_Not sure,i11_health_Somewhat unwilling,i11_health_Somewhat willing,i11_health_Very unwilling,i11_health_Very willing,WCRex1_Somewhat badly,WCRex1_Somewhat well,WCRex1_Very badly,WCRex1_Very well,WCRex2_A lot of confidence,WCRex2_Don't know,WCRex2_No confidence at all,WCRex2_Not very much confidence,PHQ4_1_N/A,PHQ4_1_Nearly every day,PHQ4_1_Not at all,PHQ4_1_Prefer not to say,PHQ4_1_Several days,PHQ4_2_N/A,PHQ4_2_Nearly every day,PHQ4_2_Not at all,PHQ4_2_Prefer not to say,PHQ4_2_Several days,PHQ4_3_N/A,PHQ4_3_Nearly every day,PHQ4_3_Not at all,PHQ4_3_Prefer not to say,PHQ4_3_Several days,PHQ4_4_N/A,PHQ4_4_Nearly every day,PHQ4_4_Not at all,PHQ4_4_Prefer not to say,PHQ4_4_Several days,d1_comorbidities_No,d1_comorbidities_Prefer_not_to_say,d1_comorbidities_Yes
0.05295216,0.013618312,0.012488294,0.013699963,0.0426245,0.014064483,0.021216039,0.0,0.022964694,0.028847428,0.014044769,0.018531967,0.017703984,0.022579273,0.037755195,0.043486685,0.010710022,0.024115628,0.025769023,0.012937413,0.012795302,0.012399848,0.013917373,0.013966483,0.016268224,0.014513255,0.02602554,0.045635886,0.012444958,0.011330719,0.012397071,0.014430968,0.014863792,0.013584482,0.011633437,0.011442025,0.010618461,0.014613313,0.01257738,0.013260817,0.01106728,0.012908896,0.012792492,0.0125659965,0.014916863,0.010660826,0.01325911,0.012312551,0.011857893,0.01617567,0.011378302,0.013526008,0.011650235,0.011830259,0.01453924,0.0113937715,0.011010766,0.015278482,0.01204618
0.05063735,0.013919662,0.012848563,0.014020242,0.041535635,0.013726807,0.023186944,0.0,0.0242224,0.029365199,0.014535497,0.018970957,0.018866846,0.022159522,0.03897728,0.043733723,0.011086649,0.024320036,0.022920135,0.013441998,0.012989727,0.012346191,0.014454106,0.013535723,0.016297838,0.014558522,0.023575867,0.04171916,0.012835653,0.011866161,0.012617273,0.01394059,0.014839256,0.01400106,0.011778563,0.012396759,0.011392681,0.014797733,0.013213144,0.01419229,0.011411602,0.012365351,0.012968488,0.011906234,0.0156188,0.010874779,0.013330613,0.012445397,0.011929915,0.014127399,0.011070721,0.013667497,0.011995573,0.011972199,0.016057616,0.011369935,0.01088125,0.014663247,0.011519493
0.052365687,0.014104171,0.012472876,0.013914699,0.039704975,0.014298367,0.023347424,0.0,0.02167282,0.03045283,0.017076641,0.01814673,0.017551411,0.024660552,0.038192797,0.03790963,0.01129802,0.023333054,0.025937404,0.013126547,0.01252699,0.012385787,0.01403089,0.014377921,0.015502168,0.014599132,0.026300458,0.042117063,0.012012809,0.0113268625,0.013135399,0.0150847025,0.015015203,0.013669918,0.011980525,0.012445236,0.010774921,0.014896297,0.012561969,0.0124054495,0.011093833,0.012129366,0.013241631,0.012569389,0.014365396,0.011304549,0.014426334,0.012861288,0.012205372,0.015919995,0.011860047,0.013959599,0.012377593,0.011619088,0.0147009855,0.011433558,0.01140826,0.013847255,0.011960174
0.05156301,0.013581022,0.012527738,0.013780965,0.041490946,0.014370705,0.023676034,0.0,0.021284757,0.029040447,0.015935328,0.01970467,0.017833399,0.0220864,0.039597064,0.042021427,0.011191162,0.025681311,0.022811614,0.012838986,0.012967573,0.012275318,0.01369212,0.013553243,0.015657458,0.015299207,0.025813993,0.042891845,0.012360997,0.011425364,0.012756849,0.015301428,0.01491495,0.014409872,0.011995763,0.012197794,0.011311089,0.014115473,0.012887385,0.013993116,0.011506287,0.01123069,0.013775074,0.012027756,0.01502391,0.011170105,0.013149843,0.012591728,0.011917844,0.014188313,0.011837146,0.012312991,0.011889554,0.01192213,0.016096443,0.01139151,0.010852779,0.014232808,0.012045186
0.059388723,0.013762203,0.012470593,0.013695893,0.04104411,0.013781894,0.02242578,0.0,0.023579033,0.02924774,0.016451336,0.020257266,0.018462237,0.023980265,0.03829332,0.03902287,0.010668262,0.027321609,0.022890655,0.013069968,0.012599147,0.0125430245,0.014412835,0.014034213,0.014459089,0.014643247,0.023786193,0.043458726,0.012324221,0.011040081,0.012265833,0.014138974,0.014828796,0.013506381,0.011807138,0.011660747,0.011059202,0.01479004,0.011810801,0.014298952,0.010980959,0.012007993,0.0131999375,0.0126734115,0.014389945,0.011113964,0.012557561,0.01204729,0.011537493,0.014138005,0.011052034,0.014724935,0.011865552,0.011622428,0.014784909,0.010800866,0.011030388,0.014215993,0.011974861
0.059684798,0.014268845,0.012922406,0.013602003,0.039996285,0.014693062,0.023103664,0.0,0.020125104,0.027071262,0.015787069,0.019862736,0.018017376,0.022556633,0.039800424,0.038690954,0.010969461,0.025346644,0.024098318,0.013031371,0.012391658,0.012139097,0.014178415,0.013539779,0.015837735,0.014999727,0.025787808,0.04239287,0.01286335,0.010864207,0.013428275,0.014956184,0.015631154,0.013738771,0.012457616,0.012110764,0.011028472,0.015379102,0.013161652,0.012497607,0.011434596,0.012293043,0.013489827,0.0121696945,0.01387382,0.010779484,0.0116442535,0.012132394,0.01238492,0.014576397,0.011466018,0.01262604,0.012159032,0.012282123,0.017138703,0.011252438,0.010969695,0.012633653,0.0116812615
0.05417367,0.014082052,0.012797509,0.013814652,0.043451257,0.014310158,0.023055444,0.0,0.023485733,0.030918704,0.014827158,0.017308356,0.01683621,0.0211226,0.040963218,0.036728885,0.011650446,0.024473416,0.025630554,0.012392367,0.012876945,0.012072927,0.014018944,0.014138032,0.014878407,0.014910916,0.024667948,0.041642852,0.012628848,0.011587599,0.012647953,0.015788196,0.0154375695,0.01390604,0.011610622,0.011997229,0.011731514,0.014812377,0.012600655,0.012905521,0.011232624,0.011842341,0.013315198,0.012541625,0.016795635,0.0112465415,0.0129685495,0.011450404,0.012415329,0.015857117,0.011784052,0.011414559,0.01237176,0.011690264,0.015963214,0.011147908,0.010852763,0.01389471,0.012331954
0.05436981,0.01369396,0.012499329,0.013288168,0.039816022,0.0135864485,0.021846369,0.0,0.022660531,0.028152304,0.016300254,0.02010683,0.019068228,0.024451666,0.040878,0.042381737,0.011442577,0.023757402,0.02480151,0.01296697,0.012880612,0.011998413,0.014414084,0.014174494,0.01553546,0.015004175,0.025990056,0.0427836,0.012035465,0.010840731,0.012767824,0.014410895,0.0146597,0.013962716,0.011823026,0.011692255,0.011538287,0.013942852,0.013165585,0.012963118,0.01095102,0.011642587,0.01305385,0.011987013,0.015049352,0.010926777,0.012325534,0.011938664,0.011877854,0.014632186,0.011303394,0.014428009,0.011882403,0.0114717325,0.01597432,0.010699316,0.010785864,0.014369109,0.012049458
0.05473959,0.014320804,0.012606306,0.013811914,0.040626053,0.014538043,0.023008637,0.0,0.022573227,0.027885348,0.016267058,0.019056479,0.019610032,0.023768783,0.04111157,0.038629293,0.010988373,0.024151346,0.023086067,0.012990809,0.0129035115,0.011620812,0.01382805,0.012577306,0.015566647,0.014701899,0.026083242,0.042247117,0.011894209,0.011202984,0.012639922,0.014100289,0.015720395,0.013709024,0.012229908,0.011838916,0.011560468,0.015134212,0.012588875,0.013672444,0.010781276,0.012137896,0.012634663,0.012575184,0.015101301,0.011120132,0.012378591,0.012128496,0.011508164,0.014916653,0.011383827,0.014443391,0.012165487,0.011785527,0.015951602,0.011514825,0.01104883,0.0150730135,0.0117612295
0.054503296,0.013594923,0.012346373,0.01354189,0.042065725,0.014384942,0.022904977,0.0,0.026934305,0.028323596,0.014378003,0.021203306,0.019749641,0.022338519,0.038488407,0.041765954,0.011241482,0.026474023,0.022187984,0.01353238,0.013076395,0.012034279,0.0140634645,0.013843376,0.014832958,0.015080921,0.024030266,0.037272263,0.01183556,0.011446421,0.013015355,0.014153039,0.015354895,0.013675776,0.012398913,0.012142851,0.01096423,0.014425017,0.013145258,0.012630178,0.011478366,0.014347696,0.013354143,0.011924176,0.014231951,0.011301187,0.012255759,0.012151309,0.011766173,0.014059192,0.01133579,0.012593406,0.011985641,0.012137508,0.017072365,0.01115316,0.0114729,0.014063029,0.011935146
