feature,importance_mean,importance_std
i2_health,0.05407259,0.0030677917
i11_health_Very willing,0.042378776,0.0030973288
r1_1,0.041724056,0.002593977
state_Western Australia,0.041424084,0.0036626041
state_Victoria,0.039844282,0.0028120757
state_New South Wales,0.02870971,0.0019075618
i11_health_Very unwilling,0.025474846,0.0014992384
i9_health_Not sure,0.025029933,0.0012842714
i9_health_Yes,0.023788664,0.0014166299
within_mandate_period,0.022931714,0.0015730375
week_number,0.022679137,0.0005939512
state_Tasmania,0.02263706,0.0013693261
state_Queensland,0.019341618,0.0011455736
state_South Australia,0.018465709,0.0009679131
state_Northern Territory,0.015931886,0.00097007025
i11_health_Somewhat unwilling,0.015678398,0.00075485394
PHQ4_4_Prefer not to say,0.01561618,0.00075034244
i11_health_Somewhat willing,0.015119424,0.00052823086
WCRex2_A lot of confidence,0.014911434,0.00039953762
PHQ4_1_Nearly every day,0.014750823,0.00040557966
PHQ4_3_Prefer not to say,0.014648689,0.0009471284
WCRex1_Very well,0.014482936,0.00047389822
PHQ4_2_Prefer not to say,0.014405424,0.0007913476
d1_comorbidities_Prefer_not_to_say,0.0143110305,0.00058063027
r1_2,0.014136684,0.0004245634
employment_status_Unemployed,0.01402157,0.00032172736
age,0.013891203,0.00023396644
WCRex2_Don't know,0.01382041,0.00039948276
PHQ4_4_N/A,0.013802771,0.0011864266
cantril_ladder,0.013592051,0.00026080947
i11_health_Not sure,0.013310564,0.00056851015
PHQ4_3_N/A,0.013284186,0.0008132562
PHQ4_1_Prefer not to say,0.013271409,0.0007733044
PHQ4_2_Nearly every day,0.013159302,0.0004257156
employment_status_Not working,0.013024675,0.0003021118
employment_status_Part time employment,0.01271424,0.0003150054
PHQ4_1_Not at all,0.012692733,0.00037216488
WCRex1_Very badly,0.012623331,0.0003358003
PHQ4_2_Not at all,0.012499919,0.0003750127
household_size,0.01247147,0.00023707443
PHQ4_2_N/A,0.012358916,0.00070742465
WCRex1_Somewhat badly,0.0122567145,0.00028039917
PHQ4_3_Nearly every day,0.012104949,0.00032700397
WCRex2_Not very much confidence,0.012048947,0.00025171306
PHQ4_4_Nearly every day,0.012006588,0.00030620905
employment_status_Retired,0.011950615,0.0003278265
WCRex2_No confidence at all,0.01186974,0.00034125696
PHQ4_3_Not at all,0.011821968,0.0002791924
d1_comorbidities_Yes,0.011770865,0.0002914663
PHQ4_4_Not at all,0.0117446445,0.00028138867
PHQ4_3_Several days,0.011362843,0.0002483163
PHQ4_1_N/A,0.011308966,0.00043205364
WCRex1_Somewhat well,0.011247528,0.0002659609
PHQ4_1_Several days,0.011212739,0.00025729762
gender_Male,0.011165952,0.00021776739
PHQ4_4_Several days,0.011127534,0.0002553223
d1_comorbidities_No,0.010989394,0.0002583395
PHQ4_2_Several days,0.01097616,0.00022587596
within_social_distance_policy_period,0.0,0.0
