feature,importance_mean,importance_std
i2_health,0.2386323506937454,0.009025189959949298
r1_1,0.12562460313865625,0.00736878394049743
week_number,0.06745810268122673,0.0022642608146616083
age,0.05787912818854933,0.0016747723464240888
r1_2,0.05253449793218902,0.0036948267989271723
cantril_ladder,0.04421119604341842,0.002234792975705535
household_size,0.0293671543167383,0.0010625575112637139
i9_health_Yes,0.022396728098592084,0.0030311625374783943
state_New South Wales,0.021094776680645126,0.002705051168559624
i9_health_Not sure,0.019637729972976043,0.003272487119149337
