feature,importance_mean,importance_std
i2_health,0.2386323506937454,0.009025189959949298
r1_1,0.12562460313865625,0.00736878394049743
week_number,0.06745810268122673,0.0022642608146616083
age,0.05787912818854933,0.0016747723464240888
r1_2,0.05253449793218902,0.0036948267989271723
cantril_ladder,0.04421119604341842,0.002234792975705535
household_size,0.0293671543167383,0.0010625575112637139
i9_health_Yes,0.022396728098592084,0.0030311625374783943
state_New South Wales,0.021094776680645126,0.002705051168559624
i9_health_Not sure,0.019637729972976043,0.003272487119149337
i11_health_Very willing,0.019473506337037438,0.0024679199111395313
state_Western Australia,0.014105250167050231,0.0028578313017080083
gender_Male,0.011321215258781096,0.0006634083684900038
state_Victoria,0.011159864402104067,0.0018055529397920432
employment_status_Part time employment,0.010761945134067086,0.0010189575661080095
WCRex2_A lot of confidence,0.009585559754157341,0.0006917331787754619
PHQ4_1_Nearly every day,0.00958091833140969,0.0015915047180135185
WCRex1_Somewhat well,0.00954106469045498,0.0005834294990801391
employment_status_Unemployed,0.008950263283630577,0.001075712168390656
WCRex1_Very well,0.008865394745966626,0.0005824950940733362
i11_health_Somewhat willing,0.008743929497544298,0.0005833140115320181
d1_comorbidities_No,0.008677343991622673,0.0005149955475930165
d1_comorbidities_Yes,0.008651607184447196,0.0004181180591862584
PHQ4_4_Not at all,0.00802818713592166,0.0006153699928280181
PHQ4_3_Several days,0.007881813101338838,0.00048704940977561934
WCRex2_Not very much confidence,0.007874660996109572,0.0006138050131083342
PHQ4_1_Not at all,0.0077711743916033995,0.0006867498808060189
PHQ4_1_Several days,0.007616136637386509,0.0004105168998234549
PHQ4_3_Not at all,0.007603172724318133,0.0005029929926721254
employment_status_Retired,0.007494962969098598,0.00048075007133431183
WCRex1_Somewhat badly,0.007493795030136479,0.0006430639498798276
PHQ4_4_Several days,0.007492448951512273,0.0004376592752161246
state_South Australia,0.007341912151252817,0.0007465679097295654
PHQ4_2_Several days,0.007291681096933419,0.0003636613106355458
employment_status_Not working,0.007222440054548694,0.000685298017082563
PHQ4_2_Not at all,0.007192800848046696,0.00041826435387725563
PHQ4_2_Nearly every day,0.007132119308351262,0.0009048224389153318
PHQ4_4_Nearly every day,0.006997561248223478,0.000825499051929962
state_Queensland,0.006899894408556664,0.0005272327042030617
PHQ4_3_Nearly every day,0.006768483140028564,0.000781323211492116
WCRex1_Very badly,0.006618529765084998,0.0005819780664481534
state_Tasmania,0.005158140336206615,0.0007746891303613038
i11_health_Somewhat unwilling,0.00436695634126655,0.0009831941552213084
i11_health_Very unwilling,0.0043092695392613015,0.0010376059694581668
WCRex2_No confidence at all,0.004210961894753194,0.00036602739533211844
WCRex2_Don't know,0.0041733450411958525,0.0005136237134940955
i11_health_Not sure,0.0029739713697492518,0.0004926885767974613
PHQ4_3_N/A,0.0028638482982355174,0.000281791626450043
PHQ4_2_N/A,0.002794114186520379,0.00026582339865383357
d1_comorbidities_Prefer_not_to_say,0.002777198616826912,0.0004080668965746188
PHQ4_4_N/A,0.0027263968309397973,0.00024786643484613584
PHQ4_1_N/A,0.0027161119254132866,0.0002450762291922865
state_Northern Territory,0.002566541365462817,0.00041326095707187784
PHQ4_2_Prefer not to say,0.002144063733646993,0.0003208427437750849
PHQ4_4_Prefer not to say,0.001950804878322074,0.00037116905235203863
PHQ4_3_Prefer not to say,0.0018491301608879382,0.0003069337884103495
PHQ4_1_Prefer not to say,0.0014432409978494287,0.00021290119140464806
