i2_health,age,household_size,cantril_ladder,r1_1,r1_2,week_number,state_New South Wales,state_Northern Territory,state_Queensland,state_South Australia,state_Tasmania,state_Victoria,state_Western Australia,gender_Male,i9_health_Not sure,i9_health_Yes,employment_status_Not working,employment_status_Part time employment,employment_status_Retired,employment_status_Unemployed,i11_health_Not sure,i11_health_Somewhat unwilling,i11_health_Somewhat willing,i11_health_Very unwilling,i11_health_Very willing,WCRex1_Somewhat badly,WCRex1_Somewhat well,WCRex1_Very badly,WCRex1_Very well,WCRex2_A lot of confidence,WCRex2_Don't know,WCRex2_No confidence at all,WCRex2_Not very much confidence,PHQ4_1_N/A,PHQ4_1_Nearly every day,PHQ4_1_Not at all,PHQ4_1_Prefer not to say,PHQ4_1_Several days,PHQ4_2_N/A,PHQ4_2_Nearly every day,PHQ4_2_Not at all,PHQ4_2_Prefer not to say,PHQ4_2_Several days,PHQ4_3_N/A,PHQ4_3_Nearly every day,PHQ4_3_Not at all,PHQ4_3_Prefer not to say,PHQ4_3_Several days,PHQ4_4_N/A,PHQ4_4_Nearly every day,PHQ4_4_Not at all,PHQ4_4_Prefer not to say,PHQ4_4_Several days,d1_comorbidities_No,d1_comorbidities_Prefer_not_to_say,d1_comorbidities_Yes
0.078606725,0.014431999,0.014674779,0.016915107,0.052650157,0.019838728,0.018527035,0.023432605,0.015220101,0.01924015,0.0143720815,0.017636688,0.022199623,0.02041491,0.014816953,0.032762058,0.03299764,0.014147353,0.0140336575,0.012813328,0.017451735,0.018305516,0.015047528,0.013297455,0.016331958,0.020967424,0.011804519,0.015689455,0.012528438,0.014477087,0.011161136,0.013462428,0.013131284,0.013010822,0.013571101,0.01781738,0.013922699,0.014552962,0.014553704,0.022295639,0.01784413,0.01342904,0.012085401,0.012107613,0.011399799,0.014212478,0.015198423,0.013835652,0.015305628,0.011000215,0.013889213,0.015108032,0.013033099,0.011228416,0.012056524,0.011499646,0.013654733
0.07178371,0.01460357,0.014385943,0.016257593,0.054609984,0.016492257,0.01842539,0.025504796,0.014990995,0.017050354,0.013112389,0.011740942,0.018044962,0.02662161,0.014333536,0.026115935,0.030643495,0.014722956,0.017712398,0.014665454,0.018377014,0.014259263,0.015082256,0.0145077,0.015575053,0.022839418,0.016434623,0.014473321,0.014489167,0.012785379,0.014856947,0.015824186,0.010319808,0.014999715,0.015151321,0.015807696,0.015142584,0.011370841,0.0139003545,0.025096279,0.013827455,0.014679765,0.015579678,0.010734911,0.020259714,0.013349421,0.017722065,0.01451806,0.015588101,0.0,0.014082468,0.014359423,0.014014498,0.0141205285,0.014208982,0.013275447,0.016568301
0.07308036,0.015181332,0.014917664,0.015879558,0.05491016,0.019057734,0.019620564,0.024172591,0.017531615,0.019583069,0.015382121,0.016301734,0.023241285,0.022882197,0.014858059,0.021848164,0.02559073,0.015206831,0.01704436,0.015426227,0.013340903,0.016669244,0.014180479,0.015827369,0.015100431,0.028284442,0.013470031,0.015082283,0.018466186,0.015752198,0.013683256,0.019972388,0.015336277,0.011786057,0.011869795,0.017339747,0.014822952,0.0040261424,0.0149687985,0.021261103,0.014640711,0.014624263,0.013254202,0.011174578,0.014607086,0.01638189,0.015711902,0.01522126,0.015236664,0.0,0.015797395,0.013349494,0.013321219,0.013211708,0.013518024,0.0121228425,0.014870296
0.07901296,0.016417844,0.013752271,0.016665503,0.048575707,0.018063245,0.018454913,0.025155291,0.017247288,0.016676221,0.015653348,0.017069172,0.022876432,0.024393136,0.015522363,0.02463063,0.024674967,0.012561049,0.014591734,0.014267163,0.016796485,0.015965134,0.018822303,0.015069209,0.01703614,0.026215117,0.013861036,0.013096109,0.017068058,0.01630974,0.017791409,0.016894383,0.0114043,0.013981561,0.012927219,0.016206363,0.013790364,0.008862265,0.013405995,0.017580554,0.015377408,0.0147603685,0.012406637,0.014143452,0.015782168,0.011562601,0.014614423,0.014532651,0.013089093,0.0,0.014194157,0.014704086,0.01164454,0.016193546,0.016149115,0.016373815,0.0151269715
0.07266068,0.014899854,0.013994636,0.015475326,0.05310127,0.018936912,0.018056976,0.024247322,0.016678022,0.013958023,0.015207239,0.014578039,0.026388543,0.026170949,0.014720608,0.025780369,0.023742866,0.015475446,0.01806326,0.012959011,0.016576478,0.014601453,0.016605636,0.0114977965,0.01073057,0.02559444,0.014945736,0.014013738,0.016761774,0.014054083,0.015905226,0.014692194,0.012617369,0.014414759,0.014718795,0.017381523,0.011893608,0.012801156,0.011683568,0.018116305,0.013897936,0.014017189,0.013930351,0.013274344,0.017757874,0.022320868,0.015373115,0.015856475,0.012687325,0.0,0.017992722,0.014610916,0.017665183,0.0131538315,0.012435396,0.015748575,0.014576274
0.07967887,0.015656404,0.014671393,0.01489191,0.053194735,0.017605828,0.01786428,0.024788693,0.01578436,0.017658837,0.014717373,0.016961318,0.019798284,0.022823256,0.01488539,0.025895663,0.02779769,0.014219265,0.016422527,0.0149809215,0.016235005,0.016645676,0.0152578065,0.016018473,0.013875495,0.020714369,0.014110977,0.016036082,0.019008761,0.018018272,0.018730741,0.018814169,0.013035269,0.015419301,0.0115446625,0.012851656,0.0135766575,0.011256447,0.013931076,0.018742554,0.0145533,0.015207935,0.015023468,0.013220465,0.014360009,0.01481008,0.014957428,0.013394055,0.013593336,0.0,0.011297748,0.015609664,0.013341687,0.0137368655,0.014453682,0.013335106,0.014984659
0.07218857,0.015430841,0.012959147,0.014733829,0.05127134,0.01711582,0.017158236,0.022331422,0.015237543,0.014588718,0.013418146,0.017384512,0.019786276,0.019942602,0.015841976,0.0331008,0.025066528,0.0117778275,0.017595848,0.016739996,0.015931189,0.017765386,0.01881909,0.013456688,0.012633665,0.027757872,0.01596517,0.01564482,0.014198581,0.015468489,0.017059546,0.017278207,0.011349854,0.01367172,0.011618518,0.017221639,0.011718945,0.012577332,0.014034942,0.018848656,0.015902817,0.014825737,0.01062699,0.012741923,0.019262953,0.015124286,0.01376956,0.01698948,0.013742106,0.015267786,0.0117440205,0.011764805,0.019919986,0.012396531,0.011781311,0.013989342,0.013460007
0.07130143,0.015947882,0.015162478,0.016193654,0.053842325,0.018552888,0.019355068,0.02431444,0.014068712,0.015178248,0.015278422,0.016704349,0.021497127,0.020104038,0.014112541,0.023665983,0.026133958,0.01527853,0.017548334,0.015873129,0.016284311,0.02255465,0.015376496,0.013257876,0.015256163,0.026234603,0.01488489,0.011662867,0.016457984,0.012880841,0.015229384,0.019847976,0.016124643,0.014879497,0.011095613,0.015221991,0.016711468,0.0060212463,0.012144186,0.016922949,0.01283636,0.013531098,0.01141359,0.013979737,0.016070427,0.014704882,0.014842719,0.014265422,0.012720285,0.014507981,0.012823688,0.014743571,0.014643838,0.011401129,0.014159305,0.017360795,0.016832022
0.07728273,0.014679079,0.014403242,0.015369114,0.049944744,0.017557925,0.01682196,0.02210447,0.013232385,0.019840987,0.013207793,0.01479439,0.02067478,0.027441043,0.011613581,0.027162094,0.024444923,0.013882584,0.018148042,0.011001691,0.013654481,0.023503246,0.019651778,0.01326356,0.018942328,0.029188171,0.016461592,0.010607507,0.013404569,0.014498876,0.013239171,0.021794034,0.012860211,0.0119505795,0.010454453,0.013107775,0.013378893,0.012373779,0.012198686,0.019458596,0.017517604,0.015556726,0.016619284,0.014165431,0.025201697,0.01677538,0.0149658695,0.014886989,0.011750699,0.0,0.008940372,0.01447458,0.016230006,0.011176672,0.01474686,0.013941411,0.01545059
0.08087153,0.014959544,0.014707087,0.016991816,0.050765317,0.020649828,0.01971463,0.021106873,0.0151694985,0.018248117,0.015379314,0.01326565,0.022958994,0.019708894,0.01479244,0.025884172,0.020578783,0.01621251,0.013609823,0.012978405,0.01815704,0.019711018,0.013034938,0.012908431,0.014082477,0.03421555,0.012760594,0.016515246,0.013899082,0.013276592,0.01389077,0.015170407,0.014787109,0.012849153,0.011397814,0.012989321,0.016097313,0.014696058,0.014340528,0.012685022,0.015213139,0.01563668,0.01338719,0.012510497,0.020334763,0.011766632,0.013229878,0.0113308765,0.014500624,0.015778355,0.012364257,0.015466231,0.015155648,0.013039738,0.014977464,0.015425478,0.013864943
