feature,importance_mean,importance_std
i2_health,0.07799671,0.004218541
r1_1,0.051841535,0.0034895563
i9_health_Yes,0.026233595,0.0033596868
i11_health_Very willing,0.025918502,0.0035017708
i9_health_Not sure,0.025108676,0.0034134316
state_New South Wales,0.023393182,0.0018496948
state_Victoria,0.022523899,0.0022898102
state_Western Australia,0.022237157,0.0023034033
r1_2,0.018397665,0.0012778912
week_number,0.018249908,0.0006681216
PHQ4_3_N/A,0.017863605,0.003579743
i11_health_Not sure,0.01770567,0.0038505844
PHQ4_2_N/A,0.017566347,0.004189509
state_Tasmania,0.016969595,0.0021570835
cantril_ladder,0.016111122,0.00089661387
state_Queensland,0.01592426,0.0015701453
PHQ4_1_Nearly every day,0.015896184,0.002107055
employment_status_Part time employment,0.015779868,0.0017468843
employment_status_Unemployed,0.015697543,0.0014504611
i11_health_Somewhat unwilling,0.015657151,0.002775995
WCRex2_Don't know,0.015600291,0.002335737
d1_comorbidities_Yes,0.015428561,0.0017840434
WCRex1_Very badly,0.01530953,0.001435974
PHQ4_3_Not at all,0.015266037,0.0015081888
d1_comorbidities_Prefer_not_to_say,0.015106578,0.0018437013
state_South Australia,0.015076086,0.0017802906
age,0.01506913,0.00051218877
WCRex1_Somewhat badly,0.014989344,0.0020073839
PHQ4_2_Nearly every day,0.014911587,0.0016684125
PHQ4_3_Nearly every day,0.014888244,0.0018446794
WCRex2_A lot of confidence,0.014862848,0.0017084552
PHQ4_4_Prefer not to say,0.014701831,0.0029190066
i11_health_Very unwilling,0.01464848,0.0019381278
gender_Male,0.014602547,0.0009291084
PHQ4_4_Not at all,0.0145611195,0.0015771034
employment_status_Not working,0.014541353,0.0014600444
PHQ4_3_Prefer not to say,0.0144676175,0.002671442
state_Northern Territory,0.014459074,0.0019579856
household_size,0.014448315,0.00064398005
WCRex1_Very well,0.0143877175,0.00154831
i11_health_Somewhat willing,0.014311083,0.0016698756
d1_comorbidities_No,0.014187051,0.0016109807
WCRex1_Somewhat well,0.014084702,0.0015345981
PHQ4_2_Not at all,0.014018977,0.001251141
PHQ4_1_Not at all,0.013982141,0.0015655061
WCRex2_Not very much confidence,0.013908112,0.0013708344
employment_status_Retired,0.013674298,0.0015090927
PHQ4_4_Several days,0.013661223,0.0013006757
PHQ4_1_Several days,0.013604012,0.0013718891
PHQ4_1_N/A,0.013532045,0.002048566
PHQ4_2_Prefer not to say,0.013519545,0.0021056887
PHQ4_3_Several days,0.013412787,0.00142858
PHQ4_4_Nearly every day,0.013143361,0.0021375169
PHQ4_2_Several days,0.012953095,0.0013852849
WCRex2_No confidence at all,0.01232505,0.0016280719
PHQ4_1_Prefer not to say,0.011272698,0.0030319374
PHQ4_4_N/A,0.010011342,0.009478964
