feature,importance_mean,importance_std
i2_health,0.15816943559011767,0.00409789715081638
week_number,0.10630432877395327,0.0017880174029170103
r1_1,0.08031701397065835,0.0025617113275000405
age,0.07679999073078883,0.000899166761403944
cantril_ladder,0.050857034290509404,0.000697504452235737
r1_2,0.048023684405577347,0.000654819361289976
household_size,0.0407182849275333,0.0004938532682203478
i11_health_Very willing,0.02472064352214363,0.0013163986093736241
state_New South Wales,0.01966157173242305,0.0012180928123050926
state_Western Australia,0.017647598078155035,0.0011122865173610289
