feature,importance_mean,importance_std
i2_health,0.15816943559011767,0.00409789715081638
week_number,0.10630432877395327,0.0017880174029170103
r1_1,0.08031701397065835,0.0025617113275000405
age,0.07679999073078883,0.000899166761403944
cantril_ladder,0.050857034290509404,0.000697504452235737
r1_2,0.048023684405577347,0.000654819361289976
household_size,0.0407182849275333,0.0004938532682203478
i11_health_Very willing,0.02472064352214363,0.0013163986093736241
state_New South Wales,0.01966157173242305,0.0012180928123050926
state_Western Australia,0.017647598078155035,0.0011122865173610289
gender_Male,0.017323374964107727,0.00027875109860918184
i9_health_Yes,0.017135645316112835,0.0008637307081080937
state_Victoria,0.016533564055480645,0.000746394369849133
state_Queensland,0.015791463989975822,0.000789416720361752
WCRex1_Somewhat well,0.014257195600706271,0.0002584427162755288
employment_status_Part time employment,0.013743440128867673,0.0002544664325128706
WCRex2_A lot of confidence,0.01273450767107218,0.0003031748737318725
d1_comorbidities_Yes,0.011923604006671149,0.00024602947228080966
WCRex2_Not very much confidence,0.011644786947529321,0.0002457355339171853
d1_comorbidities_No,0.01151180697145878,0.00022570209644206152
WCRex1_Somewhat badly,0.011187834621567336,0.0002900238603153202
WCRex1_Very well,0.011058529245664837,0.0003199227708790602
PHQ4_3_Several days,0.01097897978216881,0.00023123859048769318
i9_health_Not sure,0.01071106865027204,0.0007078989996222075
PHQ4_1_Not at all,0.010586036021775783,0.00035389416204531006
PHQ4_1_Several days,0.010500219775879057,0.00023305493047468627
employment_status_Retired,0.01044185763070481,0.00022496169431917662
PHQ4_4_Several days,0.010158538038248344,0.00020412673236684168
PHQ4_2_Several days,0.009952099512955972,0.00018348627155859133
i11_health_Somewhat willing,0.0099377446435465,0.00027691910477145695
PHQ4_2_Not at all,0.009913913750408346,0.00030774183430302363
WCRex1_Very badly,0.009625575603719587,0.0002252748374866075
PHQ4_4_Not at all,0.009577431389477952,0.00019636551732250782
employment_status_Not working,0.00923331502609904,0.0002699309224111149
PHQ4_3_Not at all,0.009218664503182213,0.0002276131919668075
employment_status_Unemployed,0.008713090067191075,0.0002939671434192677
PHQ4_1_Nearly every day,0.006487883372876117,0.0003342480010914008
WCRex2_No confidence at all,0.0064260970360718985,0.00021250112773802115
state_South Australia,0.006239135185769977,0.00030514720337737367
PHQ4_3_Nearly every day,0.005837780760262541,0.00018810221781028462
PHQ4_2_Nearly every day,0.005767144017592333,0.0002968541585621382
PHQ4_4_Nearly every day,0.0057585290092429615,0.00017180514853205325
i11_health_Very unwilling,0.004278018776758747,0.00046434166430722577
WCRex2_Don't know,0.003863988138993106,0.00026749203133136587
PHQ4_2_N/A,0.003650387719796572,0.000164829373406205
PHQ4_1_N/A,0.003585750848199286,0.00016314872986675295
PHQ4_3_N/A,0.003581608958382017,0.00014574708193854216
PHQ4_4_N/A,0.003572340068519632,0.00015073448028701236
i11_health_Somewhat unwilling,0.003250583404126267,0.00032462672363829095
d1_comorbidities_Prefer_not_to_say,0.0020454413105625256,0.00021330434869897024
i11_health_Not sure,0.001611779268805963,0.00013990799807971345
PHQ4_4_Prefer not to say,0.0013280266405537532,0.00015445436186027617
PHQ4_2_Prefer not to say,0.0012952740862228508,0.00014683555250212042
state_Tasmania,0.001193683561606747,0.00015179507359422228
PHQ4_1_Prefer not to say,0.001177079647660631,0.0001543595261150533
PHQ4_3_Prefer not to say,0.0011158934921950462,0.0001467698807830155
state_Northern Territory,0.00031970075909705216,0.00010759949452964384
