i2_health,age,household_size,cantril_ladder,r1_1,r1_2,week_number,state_New South Wales,state_Northern Territory,state_Queensland,state_South Australia,state_Tasmania,state_Victoria,state_Western Australia,gender_Male,i9_health_Not sure,i9_health_Yes,employment_status_Not working,employment_status_Part time employment,employment_status_Retired,employment_status_Unemployed,i11_health_Not sure,i11_health_Somewhat unwilling,i11_health_Somewhat willing,i11_health_Very unwilling,i11_health_Very willing,WCRex1_Somewhat badly,WCRex1_Somewhat well,WCRex1_Very badly,WCRex1_Very well,WCRex2_A lot of confidence,WCRex2_Don't know,WCRex2_No confidence at all,WCRex2_Not very much confidence,PHQ4_1_N/A,PHQ4_1_Nearly every day,PHQ4_1_Not at all,PHQ4_1_Prefer not to say,PHQ4_1_Several days,PHQ4_2_N/A,PHQ4_2_Nearly every day,PHQ4_2_Not at all,PHQ4_2_Prefer not to say,PHQ4_2_Several days,PHQ4_3_N/A,PHQ4_3_Nearly every day,PHQ4_3_Not at all,PHQ4_3_Prefer not to say,PHQ4_3_Several days,PHQ4_4_N/A,PHQ4_4_Nearly every day,PHQ4_4_Not at all,PHQ4_4_Prefer not to say,PHQ4_4_Several days,d1_comorbidities_No,d1_comorbidities_Prefer_not_to_say,d1_comorbidities_Yes
0.052514855,0.013537349,0.0133567,0.014698035,0.030452745,0.014645699,0.021200066,0.025303748,0.0,0.023535673,0.022116525,0.02247627,0.020266721,0.034674726,0.0114289,0.025249548,0.02517092,0.016727285,0.016115254,0.01534529,0.017660841,0.022411648,0.020998318,0.018368969,0.022502068,0.043639425,0.014041718,0.0135731045,0.0139315305,0.01747064,0.0166065,0.018950628,0.014062473,0.014445466,0.013006784,0.01945997,0.015527656,0.0,0.013876746,0.014588701,0.018673766,0.0136067085,0.0,0.01360726,0.011253433,0.016746981,0.01350766,0.017802045,0.014244638,0.011302635,0.017583009,0.01348545,0.018389106,0.013725679,0.012013746,0.017900854,0.012217623
0.049699284,0.014231335,0.014432562,0.014495743,0.030468954,0.0153578315,0.021837568,0.030967386,0.0,0.022684345,0.024058234,0.0,0.020990323,0.03490243,0.012186746,0.029675515,0.025453513,0.016912263,0.015458688,0.01534391,0.018943764,0.016264463,0.019033829,0.015640663,0.018467272,0.047018077,0.0159554,0.01304135,0.017792797,0.01729862,0.019060073,0.019177062,0.019282414,0.01582036,0.013881244,0.024229938,0.014810861,0.01508662,0.014721919,0.013905685,0.018354025,0.013910844,0.013322604,0.012845619,0.015638143,0.018294813,0.013488104,0.0,0.014304276,0.016284227,0.016651338,0.012735464,0.0,0.014388518,0.01309131,0.014465056,0.013636666
0.049614605,0.013327909,0.013434546,0.013619232,0.029991386,0.014334803,0.020528464,0.022969645,0.0,0.023256276,0.022711063,0.015924687,0.019627301,0.03273845,0.011020313,0.024907142,0.024889912,0.016713163,0.014564814,0.013848595,0.019139519,0.01875017,0.022398042,0.017053101,0.021924768,0.043988865,0.015026568,0.012300607,0.015769755,0.01670231,0.015705068,0.019337049,0.015789047,0.015522482,0.012749342,0.018076656,0.013558826,0.015108644,0.014231038,0.012789988,0.01795204,0.013814666,0.0,0.013634465,0.01342294,0.016555915,0.01352224,0.020316115,0.013126415,0.017191913,0.018338019,0.012877092,0.015781257,0.013435154,0.011887578,0.021329558,0.012870443
0.04394255,0.012812326,0.013610732,0.013329429,0.029698346,0.013818313,0.019932583,0.024242315,0.0,0.021266885,0.02239143,0.021633882,0.017038073,0.034381405,0.010483408,0.028030591,0.022747306,0.016251793,0.014227029,0.012410174,0.017228475,0.016625145,0.015475676,0.020082973,0.019143019,0.04044502,0.013499401,0.012340779,0.015299014,0.017620398,0.01921694,0.019839872,0.01584942,0.014138866,0.012256655,0.016527351,0.01478311,0.016536357,0.013217266,0.013106444,0.021620512,0.014235602,0.022390664,0.01311358,0.014706698,0.015642755,0.012014457,0.039423984,0.013102196,0.011993051,0.017020117,0.01250793,0.0,0.012677658,0.011368339,0.021222016,0.0114797205
0.05210954,0.013083331,0.014041681,0.0139602255,0.032661576,0.014836497,0.020628316,0.024676874,0.0,0.023941755,0.023500204,0.016971428,0.019572439,0.037036337,0.011583877,0.028227756,0.023843355,0.015652722,0.014557902,0.0135746645,0.015188687,0.017685942,0.02054392,0.016620306,0.018690929,0.036503498,0.014787464,0.011636062,0.014978334,0.01780149,0.017499873,0.017807003,0.017013049,0.014093729,0.0121908225,0.01761032,0.013967148,0.0146308,0.013855849,0.015230424,0.02036821,0.013918942,0.012442103,0.013223283,0.017693672,0.017588463,0.012873104,0.009618006,0.013607468,0.014569482,0.016837005,0.013310063,0.016149754,0.012454161,0.013416575,0.016106766,0.013026849
0.04549087,0.012462905,0.012884841,0.013296189,0.027205586,0.013894426,0.019978875,0.02625011,0.0,0.020465711,0.020848572,0.017931825,0.020458696,0.03250598,0.010300879,0.026690196,0.023902917,0.015909724,0.013936939,0.01302115,0.015543576,0.019649334,0.013143015,0.01582232,0.022743667,0.037613533,0.013596294,0.011054581,0.014782086,0.017260738,0.015469581,0.01986961,0.014715213,0.014051864,0.012759342,0.020212024,0.01270818,0.017326558,0.012861858,0.01768356,0.019486997,0.012023319,0.021516304,0.012881169,0.02133566,0.015973812,0.011428309,0.018150134,0.01327869,0.016745653,0.016751157,0.012314158,0.025823869,0.013601993,0.011611756,0.01870989,0.012063814
0.048902754,0.013216325,0.013775806,0.013612573,0.029549023,0.0145957405,0.020524578,0.02825256,0.0,0.022361927,0.021217631,0.0212236,0.018489402,0.03167236,0.011461148,0.025523381,0.02046241,0.014662891,0.014708227,0.015173222,0.015772235,0.019390348,0.017580083,0.018507434,0.018357303,0.05635735,0.014096802,0.012006619,0.015447616,0.017330652,0.016429527,0.015497914,0.016683144,0.015223559,0.011555336,0.021891043,0.01471584,0.010652819,0.013442481,0.013185115,0.019575076,0.014017298,0.023386749,0.013438319,0.015505405,0.015092197,0.012220853,0.017411921,0.012933586,0.016397227,0.016542286,0.012938015,0.0,0.012674307,0.012386812,0.020285878,0.011685305
0.049795836,0.01301698,0.01389564,0.013662918,0.03214908,0.014847,0.02024523,0.025068296,0.0,0.02706761,0.02046056,0.010285105,0.019595865,0.035962988,0.011053531,0.030045854,0.021301733,0.017140683,0.014956669,0.015230163,0.0155923385,0.013838727,0.019605923,0.018681616,0.019351041,0.04444459,0.014762618,0.012155967,0.015165669,0.015984632,0.016715297,0.019908505,0.01514728,0.015204151,0.012841018,0.022806037,0.014030526,0.01765337,0.012922347,0.013895721,0.021081652,0.013526498,0.01826314,0.013259688,0.012414493,0.016689086,0.012763568,0.0,0.013452176,0.016077003,0.018310808,0.01363728,0.01954746,0.013605437,0.011299235,0.016560787,0.0130224945
0.049503606,0.012879807,0.013000323,0.013281477,0.0294372,0.014013338,0.020545205,0.025715841,0.0,0.023664918,0.023925943,0.018675813,0.019258387,0.035547625,0.010998254,0.025123628,0.025266113,0.015580596,0.014773313,0.013847768,0.016898815,0.012423937,0.020330168,0.01636222,0.021898728,0.038071457,0.015873808,0.011143492,0.016268272,0.017074257,0.018314969,0.015949192,0.016844925,0.014331554,0.012334021,0.022404345,0.013843412,0.013705796,0.013903992,0.014211424,0.016095981,0.012394981,0.020168193,0.012304018,0.014634946,0.015365809,0.011885064,0.022155074,0.012614392,0.01488112,0.016691733,0.011610483,0.017264362,0.01342805,0.0112687275,0.017324546,0.01268459
0.048241474,0.013411835,0.0137457205,0.013489937,0.030505165,0.014407651,0.020341476,0.025708916,0.0,0.024545444,0.02539326,0.017415505,0.019712627,0.03482567,0.011261919,0.024410622,0.023487402,0.01572714,0.015176231,0.013490798,0.018888324,0.018081639,0.018998332,0.019096501,0.019054428,0.03504909,0.014053288,0.011286768,0.0137603935,0.016450254,0.019400207,0.016633358,0.015981533,0.01471161,0.0140695525,0.0185765,0.012988379,0.022336097,0.013883351,0.015551369,0.017826296,0.013610461,0.015721971,0.012266453,0.014742296,0.014446956,0.013247161,0.018528761,0.013496373,0.015597361,0.01704909,0.011547479,0.014960107,0.012495668,0.0115234135,0.016856745,0.0119336415
