feature,importance_mean,importance_std
i2_health,0.04893451,0.0021354598
i11_health_Very willing,0.040985864,0.0046173567
state_Western Australia,0.03471167,0.0023937037
r1_1,0.030583918,0.0018260189
state_New South Wales,0.027104551,0.002100292
i9_health_Not sure,0.026028786,0.0027250675
i9_health_Yes,0.024449265,0.0021819756
state_Queensland,0.023082307,0.0017047136
state_South Australia,0.022914222,0.0015519107
i11_health_Very unwilling,0.021337304,0.0022049972
PHQ4_1_Nearly every day,0.02112868,0.0021990875
week_number,0.020918429,0.0005248426
state_Victoria,0.019978676,0.0011855051
PHQ4_2_Nearly every day,0.018819842,0.001972452
i11_health_Not sure,0.01847749,0.00363409
i11_health_Somewhat unwilling,0.018339682,0.0028253773
i11_health_Somewhat willing,0.018295532,0.0019834654
WCRex2_Don't know,0.01817822,0.0018881769
employment_status_Unemployed,0.017724637,0.0010779604
WCRex2_A lot of confidence,0.01733541,0.0009817693
d1_comorbidities_Prefer_not_to_say,0.01732967,0.0051297946
WCRex1_Very well,0.017322678,0.0011416527
PHQ4_4_Nearly every day,0.016871218,0.001495916
PHQ4_3_Nearly every day,0.016763277,0.0013942927
state_Tasmania,0.01671794,0.0057147187
employment_status_Not working,0.016473344,0.0009287423
WCRex2_No confidence at all,0.015832528,0.0013378287
WCRex1_Very badly,0.015588773,0.00090854825
PHQ4_3_N/A,0.01538949,0.0022479608
PHQ4_4_N/A,0.015315014,0.0023539825
PHQ4_2_N/A,0.015089706,0.0019814016
WCRex2_Not very much confidence,0.015029475,0.00069330074
employment_status_Part time employment,0.014895615,0.0005795146
WCRex1_Somewhat badly,0.014657667,0.0007193565
r1_2,0.014552708,0.00041973058
employment_status_Retired,0.014271429,0.001024698
PHQ4_4_Prefer not to say,0.014150778,0.007410464
PHQ4_1_Not at all,0.013932672,0.0008204737
cantril_ladder,0.013906069,0.00044230322
household_size,0.013779347,0.00045543056
PHQ4_4_Several days,0.013692802,0.00063125126
PHQ4_2_Not at all,0.013666593,0.0009656101
PHQ4_1_Several days,0.013665644,0.0006333392
PHQ4_3_Several days,0.013623926,0.0005819076
PHQ4_2_Several days,0.013485661,0.0006300543
age,0.013373268,0.00034716917
PHQ4_3_Not at all,0.012921023,0.0007441724
PHQ4_4_Not at all,0.012668481,0.00070197036
PHQ4_1_N/A,0.01266216,0.0010362825
d1_comorbidities_Yes,0.012415045,0.0006746395
PHQ4_2_Prefer not to say,0.012389236,0.008164403
d1_comorbidities_No,0.012152523,0.00055140274
WCRex1_Somewhat well,0.012117277,0.0006057235
PHQ4_3_Prefer not to say,0.011944778,0.010494667
gender_Male,0.011193803,0.00039682427
PHQ4_1_Prefer not to say,0.0108293835,0.008188875
state_Northern Territory,0.0,0.0
