model,fold,test_precision,test_recall,test_roc_auc,test_accuracy,test_f1
model_3,1,0.7346216657593904,0.7757976430008623,0.8035336918359827,0.7267206477732794,0.7546483992730323
model_3,2,0.7336655592469546,0.7617131359586088,0.7984916440050916,0.7211149174711928,0.747426315047243
model_3,3,0.7383333333333333,0.7640126473124461,0.8068164337708207,0.7254749299283713,0.7509535245091115
model_3,4,0.7285363859362224,0.7683242311008911,0.7997028332804458,0.7194020554344441,0.7479015109121433
model_3,5,0.7432470064049012,0.7671744754239724,0.8079927553281439,0.7303020865773903,0.755021216407355
model_3a,1,0.6625310173697271,0.6989528795811518,0.7525162544575451,0.685200668896321,0.6802547770700637
model_3a,2,0.6678383128295254,0.6631762652705061,0.7488787855868273,0.6806020066889632,0.6654991243432574
model_3a,3,0.6694078947368421,0.7102966841186736,0.7664645539373465,0.6931438127090301,0.6892464013547841
model_3a,4,0.6526946107784432,0.6657940663176265,0.7441481151552332,0.6701505016722408,0.6591792656587473
model_3a,5,0.6518828451882845,0.6797556719022687,0.7481756629941818,0.6726588628762542,0.6655275523280649
model_3b,1,0.7865881286814681,0.7437874892887746,0.8097464197871236,0.7348052592408831,0.7645892975115613
model_3b,2,0.7703132092600998,0.7270779777206512,0.803480763219937,0.7164475316298685,0.7480714128278598
model_3b,3,0.7859778597785978,0.7300771208226221,0.8082111231120597,0.728603324237162,0.7569968902709907
model_3b,4,0.7824719101123595,0.7459297343616109,0.8131260417723902,0.7328206400396924,0.7637639833296775
model_3b,5,0.7709471766848816,0.7253641816623821,0.7971959186002417,0.7161994542297196,0.7474613686534216
