model,fold,test_precision,test_recall,test_roc_auc,test_accuracy,test_f1
model_3,1,0.7611673615247171,0.7346938775510204,0.8134856906108268,0.7313920896916848,0.7476963580517771
model_3,2,0.7602697731453096,0.712848519689566,0.8054335429596169,0.7226720647773279,0.7357958759827918
model_3,3,0.7694204685573366,0.7174475423972406,0.8157689401297841,0.7304578013080038,0.7425256581883088
model_3,4,0.763447251114413,0.738430583501006,0.8111006214950984,0.7343506695733416,0.7507305669199299
model_3,5,0.7733044286156705,0.7177349813164703,0.816513566130534,0.7331049517284335,0.74448419797257
model_3a,1,0.6658249158249159,0.6902268760907504,0.7495686020746318,0.68561872909699,0.6778063410454156
model_3a,2,0.6623376623376623,0.6675392670157068,0.7456937242807,0.677675585284281,0.6649282920469362
model_3a,3,0.6685998342999171,0.7041884816753927,0.7570277243199179,0.6910535117056856,0.685932851678708
model_3a,4,0.6442953020134228,0.6701570680628273,0.7404514691340387,0.6647157190635451,0.6569717707442259
model_3a,5,0.6543513957307061,0.6954624781849913,0.7459220290269175,0.6780936454849499,0.6742808798646363
model_3b,1,0.7991266375545851,0.705655526992288,0.8146863334105906,0.72686678243612,0.7494880546075086
model_3b,2,0.7961538461538461,0.7095115681233933,0.8129243147466748,0.7266187050359713,0.750339827820571
model_3b,3,0.8081534772182254,0.721936589545844,0.8185211666941864,0.7397668072438601,0.7626159764652637
model_3b,4,0.8053596614950634,0.7339331619537275,0.8220623722795255,0.7432398908459439,0.7679892400806994
model_3b,5,0.792507204610951,0.7069408740359897,0.806875912379273,0.7231456214338874,0.7472826086956522
